,tokenized
10032,"['코스피', '내', '린', '장', '종료']"
4386,"['국내', '투자자', '美中', '수', '하락', '저', '점', '매', '수로', '대응']"
3297,"['셀트리온', '작년', '영업', '이익', '천억원', '재작년', '보다', '상승']"
7124,"['클릭', '해외', '증시', '종목', '위드', '코로나', '에어비앤비', '사상', '최대', '매출']"
7655,"['국제', '유가', '상승', '하락', '다대', '비는', '연', '자금', '으로']"
8570,"['코스닥', '내린', '개장']"
6558,"['강', '달러', '에도', '돌아온', '외국인', '삼', '성전', '자', '하이닉스', '집중', '매수']"
2346,"['뉴욕증시', '유가', '하락', '세', '나스닥', '상승', '마감']"
4487,"['코스닥', '오른', '개장']"
3148,"['비트코인', '만원', '대', '우크라이나', '위기', '하락', '세']"
10283,"['코스피', '오른', '개장']"
8520,"['코스피', '반', '발매', '수', '유입', '속', '소', '폭', '상승', '출발', '대', '회복', '종합']"
260,"['코스피', '내', '린', '장', '종료']"
6742,"['증시', '아직', '버블', '아냐', '인플레이션', '경', '기', '하강', '우려', '부담']"
7506,"['상속세', '납부', '위해', '이부진', '삼', '성전', '자', '주식', '담보', '억', '대출']"
1131,"['코스닥', '내', '린', '장', '종료']"
1197,"['미국', '장단', '기금', '리차', '벌어져', '침체', '우려', '진정', '될듯']"
3122,"['메타', '버스', '수익률', '부진', '불구', '하고', '신', '상품', '출시', '잇따라']"
9219,"['코스피', '하락', '마감', '대로', '밀려']"
2278,"['대', '양', '금속', '절대', '적', '저', '평가', '구간', '저', '점', '매수', '무관', '골드', '스탁', '상품', '으로']"
7346,"['슬의생갯', '마을', '차차차', '흥행', '영업', '익', '상승', '종합']"
5860,"['삼', '성', '전자', '상승', '하이닉스', '상승', '상승', '모드', '돌입', '반도체', '주']"
9559,"['세계', '최저', '수수료', '레버리지', '버스', '종', '소개', '합니다', '구', '독자', '자', '앤트']"
9592,"['코스피', '장', '초반', '소', '폭', '상승세', '대']"
585,"['한화', '솔루션', '분기', '영업', '이익', '천억원', '작년', '동기', '대비', '하락']"
5875,"['쉬어가자', '랠리', '달리던', '코스피', '거래', '일만', '하락']"
5865,"['美', '증시', '소비자', '물가', '급등', '에도', '상승', '다우', '상승']"
4641,"['코스닥', '오른', '개장']"
1152,"['삼', '성', '전자', '반등', '때월', '마지막', '기회']"
6666,"['조원', '라라', '랜드', '제작사', '수사', '상', '최대']"
4947,"['뉴욕증시', '전', '일', '급락', '에이', '어', '하락', '출발']"
